"ID","name","versionNumber","contentType","dataFileSizeBytes","createdBy","createdOn","modifiedBy","modifiedOn","parentId","synapseURL","dataFileMD5Hex"
"syn66527870","WPD018_FreeWalk.csv","1","text/csv","27189629","3474226","1747354223277","3474226","1747354223277","syn63099020","https://www.synapse.org/#!Synapse:syn66527870.1","2d8f6bd6f8cd9012f9df3ed0ae202e2f"
"syn66527867","WPD015_FreeWalk.csv","1","text/csv","46653508","3474226","1747354210046","3474226","1747354210046","syn63099020","https://www.synapse.org/#!Synapse:syn66527867.1","075723cc90139b2385be05e3b6a25243"
"syn66527874","WPD022_FreeWalk.csv","1","text/csv","48800833","3474226","1747354243578","3474226","1747354243578","syn63099020","https://www.synapse.org/#!Synapse:syn66527874.1","73b192ea86f52edf3120a6194cd9bd02"
"syn66527865","WPD013_Freewalk.csv","1","text/csv","49529679","3474226","1747354197591","3474226","1747354197591","syn63099020","https://www.synapse.org/#!Synapse:syn66527865.1","3abe23ded10daaf9d689925e7977a6ad"
"syn66527878","WPD026_FreeWalk.csv","1","text/csv","51434225","3474226","1747354266870","3474226","1747354266870","syn63099020","https://www.synapse.org/#!Synapse:syn66527878.1","485004549c17b200e2a399ce5dfd7567"
"syn66527869","WPD017_FreeWalk.csv","1","text/csv","52901553","3474226","1747354220215","3474226","1747354220215","syn63099020","https://www.synapse.org/#!Synapse:syn66527869.1","8ca95b18ce7c32f518208d86bab5f86b"
"syn66527855","NLS197_FreeWalk.csv","1","text/csv","55948771","3474226","1747354142867","3474226","1747354142867","syn63099020","https://www.synapse.org/#!Synapse:syn66527855.1","acd8fa17d842ffd42e73273e8cd5e81b"
"syn66527841","NLS035_FreeWalk.csv","1","text/csv","55984212","3474226","1747354067416","3474226","1747354067416","syn63099020","https://www.synapse.org/#!Synapse:syn66527841.1","55a0ceda4e86b00c0eaf040fc1a9b9a9"
"syn66527879","WPD027_FreeWalk.csv","1","text/csv","56464076","3474226","1747354274913","3474226","1747354274913","syn63099020","https://www.synapse.org/#!Synapse:syn66527879.1","569aec25dec43671d797a1c01c352c79"
"syn66527843","NLS190_FreeWalk.csv","1","text/csv","57178618","3474226","1747354073187","3474226","1747354073187","syn63099020","https://www.synapse.org/#!Synapse:syn66527843.1","3a6e48cc4d8704a3788dfdf0040d7789"
"syn66527852","NLS194_FreeWalk.csv","1","text/csv","57484045","3474226","1747354122280","3474226","1747354122280","syn63099020","https://www.synapse.org/#!Synapse:syn66527852.1","247bb92a336450f2707d42092a371d2d"
"syn66527853","NLS195_FreeWalk.csv","1","text/csv","58113789","3474226","1747354128237","3474226","1747354128237","syn63099020","https://www.synapse.org/#!Synapse:syn66527853.1","33f81195d01e457fa9d22d5bd6e629c9"
"syn63099023","WPD011_FreeWalk.csv","1","text/csv","58933857","3474226","1725975428103","3474226","1725975428103","syn63099020","https://www.synapse.org/#!Synapse:syn63099023.1","b93aa0a20fd079d11aaaf9608f8fa006"
"syn66527873","WPD021_FreeWalk.csv","1","text/csv","59031004","3474226","1747354238939","3474226","1747354238939","syn63099020","https://www.synapse.org/#!Synapse:syn66527873.1","11d5f79837095ef8fc57918f22be0bbb"
"syn66527845","NLS192_FreeWalk.csv","1","text/csv","60370417","3474226","1747354077731","3474226","1747354077731","syn63099020","https://www.synapse.org/#!Synapse:syn66527845.1","ba1f751ab55cea1101ee33ee8507704e"
"syn66527871","WPD019_FreeWalk.csv","1","text/csv","61431437","3474226","1747354229716","3474226","1747354229716","syn63099020","https://www.synapse.org/#!Synapse:syn66527871.1","346373095c221c88dad01fea51718437"
"syn63099022","NLS188_FreeWalk.csv","1","text/csv","61561925","3474226","1725975423903","3474226","1757351797450","syn63099020","https://www.synapse.org/#!Synapse:syn63099022.1","a528be97cdba204cd923a122a7c51757"
"syn66527872","WPD020_FreeWalk.csv","1","text/csv","63821700","3474226","1747354234971","3474226","1747354234971","syn63099020","https://www.synapse.org/#!Synapse:syn66527872.1","98ef864e86a94b290790404a9360481b"
"syn66527863","NLS211_FreeWalk.csv","1","text/csv","64694029","3474226","1747354188260","3474226","1747354188260","syn63099020","https://www.synapse.org/#!Synapse:syn66527863.1","6fe8b4896af24bed7bf19752337d2521"
